Eugena Washington	, L. A. Models	1985	,
George Boots	5 ft 10¾ in	1874	,
George Frederic Watts	120		,,
Joern Renzenbrink	6'5" (196 cm)		,
Juan Carlos Ramírez	5 ft 8 in (179 cm)	1977	,,
Kōki Kameda	1.66 m (5 ft 5.5 in)		,
Lee Hopkins	5 ft 11 ins (1.82 m)	1978	,
Marcus Di Rollo	6 ft 1 in (1.86 m)	1978	,
Maria Fernanda Cândido	1,77	1974	,
Almudena Fernández	174 cm	1977	,,
Andrej Džaković	196 cm	1988	Pljevlja, Montenegro
Arnoud Okken	1.82 m	1982	,
Brigette Tapene	178cm		Auckland
Carlson Twins	6'	1978	,,
Charley Speed	6 ft 2.5 in	1979	,, England
César Sempere	)	1984	,
Dennis Bakhtov	5,11	1979	Kazakhstan
Gary Powell (rugby player)	6 ft 0 in (1.83 m)	1979	,
Jamea Jackson	1.63 m (5 ft 4 in)		,
Johan Roux	1.8m		,
Katherine East	6 feet		Killarney, Ontario, Canada
Konstantinos Efraimoglou	6 ft 2 in		Athens, Greece
Laís Souza	1.53 m	1988	,,
Lee Oudenryn	187 cm		,
Lee Purdy	170cm / 5'7''		Colchester, Essex, UK
Leonardo Azzaro	6'2" (188 cm)		, Italy
Mahonri Montes	5 ft 10 in (180 cm)	1989	,
Marcos Aurelio Gorriz	6'1" (185 cm)	1964	, Spain
Gopimohan	5'11	1974	,,
Luis José Santander	6.02		Colorado-United States
Andrea del Verrocchio	150		,
Anita Weyermann	1.65 m		,
Cory Williams	6'3" or 192 cm	1981	,
David De La Mora	5 ft 6 in (168 cm)	1989	,,
Deborah Secco	1,64	1979	,
Denis Golovanov	6'2" (188 cm)	1979	, Russia
Grant Young (rugby league)	112 kg		,
Irina Pantaeva	178 cm	1967	,,
Lars Koslowski	6'2" (188 cm)		,
Lauren Socha	5"5		,, England, UK
Lewis Larsson	170		,,
Ludwika Paleta	5 ft. 4 in. (162.56 cm.) (2004)	1978	,
Malcolm O'Kelly	6 ft 8 in (2.03 m)	1974	,,
Brewer twins	5'11''		,,
Daniel Irvine	5 ft 8 in (1.72 m)		,
David Obregón	5 ft 10 in (180 cm)	1978	,
Fabián Peña	174 cm (5'7)	1973	,
Hannah Kearney	5'6"	1986	, USA
Javier Conde	5ft 9	1975	,, Spain
